	ID	Taxa	Kingdom	Seq_Length	Site
0	Q6YN16	Homo sapiens	Metazoa	418	False
4	Q9NTK1	Homo sapiens	Metazoa	212	False
7	P50542	Homo sapiens	Metazoa	639	False
11	P49419	Homo sapiens	Metazoa	539	False
12	Q9Y3I1	Homo sapiens	Metazoa	522	False
17	P30044	Homo sapiens	Metazoa	214	False
18	P07954	Homo sapiens	Metazoa	510	False
19	P21549	Homo sapiens	Metazoa	392	False
24	Q15067	Homo sapiens	Metazoa	660	False
26	Q9BXS1	Homo sapiens	Metazoa	227	False
27	Q6P587	Homo sapiens	Metazoa	221	False
30	Q9Y4F3	Homo sapiens	Metazoa	1742	False
34	P52306	Homo sapiens	Metazoa	607	False
35	Q8N3J2	Homo sapiens	Metazoa	472	False
37	Q2T9J0	Homo sapiens	Metazoa	566	False
39	Q9P0Z9	Homo sapiens	Metazoa	390	False
42	Q9UMS0	Homo sapiens	Metazoa	254	False
46	Q8IZ52	Homo sapiens	Metazoa	775	True
47	P59103	Homo sapiens	Metazoa	153	False
57	Q504T8	Homo sapiens	Metazoa	468	False
58	Q8IXP5	Homo sapiens	Metazoa	288	False
61	Q8WUQ7	Homo sapiens	Metazoa	758	False
62	Q9BVJ7	Homo sapiens	Metazoa	150	False
63	Q9C0C6	Homo sapiens	Metazoa	399	False
65	Q9Y3C4	Homo sapiens	Metazoa	175	False
66	Q86WA8	Homo sapiens	Metazoa	852	False
67	P04040	Homo sapiens	Metazoa	527	False
68	Q9UJM8	Homo sapiens	Metazoa	370	False
70	O14802	Homo sapiens	Metazoa	1390	False
72	P20941	Homo sapiens	Metazoa	246	False
77	Q9H0Z9	Homo sapiens	Metazoa	239	False
81	Q15311	Homo sapiens	Metazoa	655	False
89	Q9H777	Homo sapiens	Metazoa	363	False
92	O14734	Homo sapiens	Metazoa	319	False
98	Q8IYM2	Homo sapiens	Metazoa	578	False
99	Q9NXV2	Homo sapiens	Metazoa	234	False
103	A4D2B0	Homo sapiens	Metazoa	266	False
113	Q53FT3	Homo sapiens	Metazoa	197	False
114	Q8IXQ6	Homo sapiens	Metazoa	854	False
116	Q9H790	Homo sapiens	Metazoa	373	False
118	Q969V5	Homo sapiens	Metazoa	352	True
120	O14862	Homo sapiens	Metazoa	343	False
121	Q9Y2G2	Homo sapiens	Metazoa	537	False
124	P51530	Homo sapiens	Metazoa	1060	False
125	Q96BP2	Homo sapiens	Metazoa	118	False
127	Q13315	Homo sapiens	Metazoa	3056	False
131	P78549	Homo sapiens	Metazoa	304	False
133	P49916	Homo sapiens	Metazoa	1009	False
134	Q8TAE8	Homo sapiens	Metazoa	222	False
135	Q9GZT3	Homo sapiens	Metazoa	109	False
138	Q9HD34	Homo sapiens	Metazoa	91	False
143	Q49B96	Homo sapiens	Metazoa	90	False
144	Q9NZH6	Homo sapiens	Metazoa	218	False
147	Q12904	Homo sapiens	Metazoa	312	False
148	Q9C000	Homo sapiens	Metazoa	1473	False
149	P54105	Homo sapiens	Metazoa	237	False
152	P01100	Homo sapiens	Metazoa	380	False
154	P56192	Homo sapiens	Metazoa	900	False
155	P62857	Homo sapiens	Metazoa	69	False
158	Q9FWR4	Arabidopsis thaliana	Viridiplantae	213	False
159	Q6GPH4	Homo sapiens	Metazoa	301	False
163	Q3MIT2	Homo sapiens	Metazoa	529	False
165	P09211	Homo sapiens	Metazoa	210	False
169	Q96Q11	Homo sapiens	Metazoa	434	False
172	Q9UHV9	Homo sapiens	Metazoa	154	False
177	P78527	Homo sapiens	Metazoa	4128	False
178	Q6PI26	Homo sapiens	Metazoa	577	False
179	Q86US8	Homo sapiens	Metazoa	1419	False
181	O15164	Homo sapiens	Metazoa	1050	False
185	P49789	Homo sapiens	Metazoa	147	False
187	Q99417	Homo sapiens	Metazoa	103	False
190	Q9ULZ2	Homo sapiens	Metazoa	295	False
191	O60829	Homo sapiens	Metazoa	102	False
193	Q9BQ95	Homo sapiens	Metazoa	431	False
203	P41252	Homo sapiens	Metazoa	1262	False
204	Q01064	Homo sapiens	Metazoa	536	False
205	Q0IIM8	Homo sapiens	Metazoa	1120	False
206	Q0VDF9	Homo sapiens	Metazoa	509	False
207	Q5VWZ2	Homo sapiens	Metazoa	237	False
208	Q7L5D6	Homo sapiens	Metazoa	327	False
210	Q8IWV7	Homo sapiens	Metazoa	1749	False
212	Q93015	Homo sapiens	Metazoa	286	False
213	Q969F9	Homo sapiens	Metazoa	1004	False
217	Q9NRN7	Homo sapiens	Metazoa	309	False
219	Q9ULE6	Homo sapiens	Metazoa	856	False
220	Q9Y4U1	Homo sapiens	Metazoa	282	False
221	Q9NWT8	Homo sapiens	Metazoa	199	False
223	Q9Y6X9	Homo sapiens	Metazoa	1032	False
225	Q9Y2S7	Homo sapiens	Metazoa	368	False
226	O09174	Mus musculus	Metazoa	381	False
232	P52566	Homo sapiens	Metazoa	201	False
234	P55786	Homo sapiens	Metazoa	919	False
235	P62854	Homo sapiens	Metazoa	115	False
239	Q149M9	Homo sapiens	Metazoa	1564	False
240	Q6XQN6	Homo sapiens	Metazoa	538	False
242	Q8NBF2	Homo sapiens	Metazoa	726	False
243	Q96DG6	Homo sapiens	Metazoa	245	False
245	Q9UPZ3	Homo sapiens	Metazoa	1129	False
246	Q9Y3U8	Homo sapiens	Metazoa	105	False
252	P28328	Homo sapiens	Metazoa	305	True
254	O00623	Homo sapiens	Metazoa	359	True
256	O60683	Homo sapiens	Metazoa	326	True
258	O00463	Homo sapiens	Metazoa	557	False
260	O43739	Homo sapiens	Metazoa	400	False
263	O96033	Homo sapiens	Metazoa	88	False
264	P00966	Homo sapiens	Metazoa	412	False
269	P46778	Homo sapiens	Metazoa	160	False
272	P53004	Homo sapiens	Metazoa	296	False
276	Q6NVU6	Homo sapiens	Metazoa	218	False
277	Q6PD74	Homo sapiens	Metazoa	315	False
278	Q8IWZ4	Homo sapiens	Metazoa	224	False
279	Q8N3V7	Homo sapiens	Metazoa	929	False
280	Q969X0	Homo sapiens	Metazoa	211	False
281	Q96MI9	Homo sapiens	Metazoa	1112	False
282	P50091	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	288	False
285	A4D126	Homo sapiens	Metazoa	451	False
286	A6NHX0	Homo sapiens	Metazoa	329	False
290	P49888	Homo sapiens	Metazoa	294	False
295	P62942	Homo sapiens	Metazoa	108	False
301	Q86UK7	Homo sapiens	Metazoa	904	False
302	Q8TAC2	Homo sapiens	Metazoa	188	False
303	Q8WYK0	Homo sapiens	Metazoa	555	False
308	Q9NY33	Homo sapiens	Metazoa	737	False
311	Q9UQN3	Homo sapiens	Metazoa	213	False
318	Q9NSK7	Homo sapiens	Metazoa	141	True
322	O94822	Homo sapiens	Metazoa	1766	False
323	O96007	Homo sapiens	Metazoa	188	False
324	P14868	Homo sapiens	Metazoa	501	False
327	P63220	Homo sapiens	Metazoa	83	False
329	Q07020	Homo sapiens	Metazoa	188	False
330	Q14432	Homo sapiens	Metazoa	1141	True
331	Q15126	Homo sapiens	Metazoa	192	False
332	Q16773	Homo sapiens	Metazoa	422	False
335	Q9BRS2	Homo sapiens	Metazoa	568	False
336	Q9H0F6	Homo sapiens	Metazoa	387	False
338	Q9H227	Homo sapiens	Metazoa	469	False
339	Q9H9E3	Homo sapiens	Metazoa	785	False
343	Q9Y3R4	Homo sapiens	Metazoa	380	False
346	Q15714	Homo sapiens	Metazoa	1073	False
347	Q8GW43	Arabidopsis thaliana	Viridiplantae	476	False
348	Q9FWA3	Arabidopsis thaliana	Viridiplantae	486	False
357	Q96BY2	Homo sapiens	Metazoa	351	False
362	O15294	Homo sapiens	Metazoa	1046	False
366	Q6ZT62	Homo sapiens	Metazoa	677	False
367	Q86TV6	Homo sapiens	Metazoa	843	False
369	Q9BYI3	Homo sapiens	Metazoa	521	False
374	Q9Y4P1	Homo sapiens	Metazoa	393	False
376	Q8N2Y8	Homo sapiens	Metazoa	1516	False
377	Q9BZ67	Homo sapiens	Metazoa	464	False
378	Q969K3	Homo sapiens	Metazoa	372	False
384	Q96JJ3	Homo sapiens	Metazoa	720	False
385	Q9NZ09	Homo sapiens	Metazoa	502	False
386	O95571	Homo sapiens	Metazoa	254	False
387	Q96LW4	Homo sapiens	Metazoa	560	False
388	O43808	Homo sapiens	Metazoa	307	True
389	Q86W56	Homo sapiens	Metazoa	976	False
392	P46379	Homo sapiens	Metazoa	1132	False
393	Q96CM3	Homo sapiens	Metazoa	377	False
394	O43504	Homo sapiens	Metazoa	91	False
396	Q4ADV7	Homo sapiens	Metazoa	1423	False
401	Q66K74	Homo sapiens	Metazoa	1059	False
407	Q92546	Homo sapiens	Metazoa	391	False
408	Q9NZZ3	Homo sapiens	Metazoa	219	False
411	Q8TC71	Homo sapiens	Metazoa	538	False
414	Q14116	Homo sapiens	Metazoa	193	False
416	Q14154	Homo sapiens	Metazoa	515	False
421	Q9UH77	Homo sapiens	Metazoa	587	False
422	A6NK58	Homo sapiens	Metazoa	231	False
423	O43716	Homo sapiens	Metazoa	136	False
425	O75127	Homo sapiens	Metazoa	700	False
431	P83111	Homo sapiens	Metazoa	547	False
432	P86397	Homo sapiens	Metazoa	168	False
433	Q14249	Homo sapiens	Metazoa	297	False
434	Q16540	Homo sapiens	Metazoa	153	False
436	Q4G0N4	Homo sapiens	Metazoa	442	False
439	Q5T440	Homo sapiens	Metazoa	356	False
440	Q68CK6	Homo sapiens	Metazoa	577	False
441	Q86U28	Homo sapiens	Metazoa	154	False
442	Q8TB37	Homo sapiens	Metazoa	319	False
443	Q969P6	Homo sapiens	Metazoa	601	False
444	Q96HY7	Homo sapiens	Metazoa	919	False
445	Q96IR7	Homo sapiens	Metazoa	371	False
448	Q9BVL4	Homo sapiens	Metazoa	669	False
449	Q9BW91	Homo sapiens	Metazoa	350	False
451	Q9H0U6	Homo sapiens	Metazoa	180	False
453	Q9H3J6	Homo sapiens	Metazoa	166	False
454	Q9H9J2	Homo sapiens	Metazoa	332	False
455	Q9H9P8	Homo sapiens	Metazoa	463	False
456	Q9NPB1	Homo sapiens	Metazoa	228	False
458	Q9Y375	Homo sapiens	Metazoa	327	False
462	O15091	Homo sapiens	Metazoa	583	False
464	P24752	Homo sapiens	Metazoa	427	False
470	Q53R41	Homo sapiens	Metazoa	847	False
471	Q86TS9	Homo sapiens	Metazoa	123	False
472	Q86TW2	Homo sapiens	Metazoa	530	False
473	Q8IVS2	Homo sapiens	Metazoa	390	False
474	Q8N183	Homo sapiens	Metazoa	169	False
478	Q96EY7	Homo sapiens	Metazoa	689	False
479	Q96I23	Homo sapiens	Metazoa	114	False
486	Q9HBH1	Homo sapiens	Metazoa	243	False
488	Q9NUQ9	Homo sapiens	Metazoa	324	False
490	Q9NYK5	Homo sapiens	Metazoa	338	False
491	Q9P032	Homo sapiens	Metazoa	175	False
497	O43521	Homo sapiens	Metazoa	198	False
500	P0C7P0	Homo sapiens	Metazoa	127	False
502	P32322	Homo sapiens	Metazoa	319	False
504	P82673	Homo sapiens	Metazoa	323	False
506	Q13794	Homo sapiens	Metazoa	54	False
509	Q68DD2	Homo sapiens	Metazoa	849	False
510	Q6UB28	Homo sapiens	Metazoa	335	False
512	Q7L3V2	Homo sapiens	Metazoa	364	False
513	Q7Z7H8	Homo sapiens	Metazoa	261	False
515	Q8N4E7	Homo sapiens	Metazoa	242	False
517	Q9BQP7	Homo sapiens	Metazoa	344	False
518	Q9BSH4	Homo sapiens	Metazoa	297	False
520	Q9HAC7	Homo sapiens	Metazoa	438	False
522	Q9NWU5	Homo sapiens	Metazoa	206	False
523	Q9NZE8	Homo sapiens	Metazoa	188	False
527	P35790	Homo sapiens	Metazoa	457	False
528	Q63HN8	Homo sapiens	Metazoa	5207	False
529	Q9HB07	Homo sapiens	Metazoa	376	False
532	Q9Y2G0	Homo sapiens	Metazoa	817	False
534	Q9NX47	Homo sapiens	Metazoa	278	False
535	Q96MT3	Homo sapiens	Metazoa	831	False
536	Q9H299	Homo sapiens	Metazoa	93	False
541	P43897	Homo sapiens	Metazoa	325	False
544	P59942	Homo sapiens	Metazoa	119	False
547	Q3SXM5	Homo sapiens	Metazoa	330	False
552	Q7L5Y1	Homo sapiens	Metazoa	443	False
