	ID	Taxa	Kingdom	Seq_Length	Site	Group
1452	Q90X64	Xenopus laevis	Metazoa	521	False	2
1453	O35678	Mus musculus	Metazoa	303	False	2
1454	Q9LJ87	Arabidopsis thaliana	Viridiplantae	415	False	2
1455	Q94535	Drosophila melanogaster	Metazoa	264	False	2
1456	O88713	Mus musculus	Metazoa	188	True	2
1457	Q15326	Homo sapiens	Metazoa	602	False	2
1458	P82919	Bos taurus	Metazoa	196	False	2
1459	Q8LD98	Arabidopsis thaliana	Viridiplantae	252	True	2
1460	Q3E785	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	79	False	2
1461	P50896	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	841	False	2
1462	Q9SSA5	Arabidopsis thaliana	Viridiplantae	437	False	2
1463	Q6PCQ0	Mus musculus	Metazoa	778	False	2
1464	Q6AVI1	Oryza sativa subsp. japonica	Viridiplantae	227	False	2
1465	Q8RXN6	Arabidopsis thaliana	Viridiplantae	485	False	2
1466	P40532	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	138	True	2
1467	Q0JHU5	Oryza sativa subsp. japonica	Viridiplantae	159	False	2
1468	Q9WTJ6	Mus musculus	Metazoa	475	False	2
1469	Q15637	Homo sapiens	Metazoa	639	False	2
1470	Q5XF07	Arabidopsis thaliana	Viridiplantae	364	False	2
1471	Q8BFX3	Mus musculus	Metazoa	815	False	2
1472	Q9VUF8	Drosophila melanogaster	Metazoa	540	False	2
1473	Q8T053	Drosophila melanogaster	Metazoa	434	False	2
1474	Q8IVG5	Homo sapiens	Metazoa	1584	False	2
1475	O77408	Lymnaea stagnalis	Metazoa	638	True	2
1476	Q9XIN0	Arabidopsis thaliana	Viridiplantae	650	False	2
1477	Q12089	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	606	False	2
1478	O43030	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	287	False	2
1479	Q9JLI8	Mus musculus	Metazoa	962	False	2
1480	A0A509AKT6	Plasmodium berghei (strain Anka)	other	455	True	2
1481	Q03761	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	539	False	2
1482	P34218	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	831	False	2
1483	Q9UBQ5	Homo sapiens	Metazoa	218	False	2
1484	Q9D4H9	Mus musculus	Metazoa	941	False	2
1485	Q8L3P4	Arabidopsis thaliana	Viridiplantae	654	False	2
1486	O74946	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	574	False	2
1487	O13807	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1072	False	2
1488	Q7RWZ7	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	201	False	2
1489	Q9UBH6	Homo sapiens	Metazoa	696	False	2
1490	Q17569	Caenorhabditis elegans	Metazoa	389	False	2
1491	P47158	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	497	False	2
1492	P43587	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	155	False	2
1493	O74954	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	613	False	2
1494	P34440	Caenorhabditis elegans	Metazoa	261	False	2
1495	P38065	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1025	False	2
1496	Q03388	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	795	False	2
1497	Q05958	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	814	False	2
1498	Q9USX3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	406	False	2
1499	P47119	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	197	False	2
1500	Q8C6P8	Mus musculus	Metazoa	421	False	2
1501	P36954	Homo sapiens	Metazoa	125	False	2
1502	O74388	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	301	False	2
1503	Q94AV5	Arabidopsis thaliana	Viridiplantae	459	False	2
1504	P49919	Mus musculus	Metazoa	348	False	2
1505	Q56NI9	Homo sapiens	Metazoa	601	False	2
1506	P41223	Homo sapiens	Metazoa	144	False	2
1507	Q9EPL8	Mus musculus	Metazoa	1038	False	2
1508	Q9CPY0	Mus musculus	Metazoa	246	False	2
1509	Q8VEH6	Mus musculus	Metazoa	393	False	2
1510	Q5XIE6	Rattus norvegicus	Metazoa	385	False	2
1511	Q9JIR4	Rattus norvegicus	Metazoa	1615	False	2
1512	Q9VYY4	Drosophila melanogaster	Metazoa	574	True	2
1513	Q8WV24	Homo sapiens	Metazoa	401	False	2
1514	P32529	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	125	False	2
1515	Q9Y8G3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	596	False	2
1516	O14492	Homo sapiens	Metazoa	632	False	2
1517	C0HLN0	Rattus norvegicus	Metazoa	54	True	2
1518	Q8NFQ8	Homo sapiens	Metazoa	470	False	2
1519	Q9Y222	Homo sapiens	Metazoa	760	False	2
1520	P36000	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	726	False	2
1521	Q6FI81	Homo sapiens	Metazoa	312	False	2
1522	Q9Y2R0	Homo sapiens	Metazoa	106	True	2
1523	P09925	Mus musculus	Metazoa	306	True	2
1524	P32389	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	672	False	2
1525	Q9FVE6	Arabidopsis thaliana	Viridiplantae	245	False	2
1526	P38770	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	471	False	2
1527	Q0WVF8	Arabidopsis thaliana	Viridiplantae	1134	False	2
1528	Q93YQ3	Arabidopsis thaliana	Viridiplantae	323	False	2
1529	P50534	Drosophila melanogaster	Metazoa	773	False	2
1530	Q6T4R5	Homo sapiens	Metazoa	1651	False	2
1531	Q9CQK7	Mus musculus	Metazoa	243	False	2
1532	P97855	Mus musculus	Metazoa	465	False	2
1533	G5EGA3	Caenorhabditis elegans	Metazoa	704	False	2
1534	P25208	Homo sapiens	Metazoa	207	False	2
1535	Q9Y2Y6	Homo sapiens	Metazoa	226	True	2
1536	P53254	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1237	False	2
1537	Q9NR90	Homo sapiens	Metazoa	486	False	2
1538	P36169	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	355	True	2
1539	O14336	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	461	False	2
1540	O43765	Homo sapiens	Metazoa	313	False	2
1541	Q16635	Homo sapiens	Metazoa	262	False	2
1542	P47127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	394	False	2
1543	Q9H4Q4	Homo sapiens	Metazoa	367	False	2
1544	A0A2H1VE33	Spodoptera frugiperda	Metazoa	332	False	2
1545	Q12080	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	455	False	2
1546	Q6B9X6	Dictyostelium discoideum	other	625	False	2
1547	Q06211	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1407	False	2
1548	Q3MK94	Arabidopsis thaliana	Viridiplantae	428	False	2
1549	Q9QYE3	Mus musculus	Metazoa	835	False	2
1550	O75665	Homo sapiens	Metazoa	1012	False	2
1551	Q8I8U7	Drosophila melanogaster	Metazoa	3790	False	2
1552	Q59RL7	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	853	False	2
1553	C8VSZ2	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	370	False	2
1554	Q9P7C8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	214	False	2
1555	P25569	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	745	False	2
1556	Q63HR2	Homo sapiens	Metazoa	1409	False	2
1557	Q01543	Homo sapiens	Metazoa	452	False	2
1558	Q9H0E3	Homo sapiens	Metazoa	1048	False	2
1559	Q6C354	Yarrowia lipolytica (strain CLIB 122 / E 150)	Fungi	520	False	2
1560	Q9QZS8	Mus musculus	Metazoa	854	False	2
1561	Q96LD4	Homo sapiens	Metazoa	638	False	2
1562	P86452	Homo sapiens	Metazoa	979	False	2
1563	Q9NWT8	Homo sapiens	Metazoa	199	False	2
1564	Q9D0Z3	Mus musculus	Metazoa	276	False	2
1565	Q7LL22	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	462	False	2
1566	Q8BM47	Mus musculus	Metazoa	761	False	2
1567	O70456	Mus musculus	Metazoa	248	False	2
1568	Q84JE8	Arabidopsis thaliana	Viridiplantae	694	False	2
1569	P38222	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	552	False	2
1570	Q9UUE5	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	675	False	2
1571	P31356	Todarodes pacificus	Metazoa	448	True	2
1572	O49562	Arabidopsis thaliana	Viridiplantae	403	False	2
1573	Q9QWV4	Mus musculus	Metazoa	267	False	2
1574	Q9CQ69	Mus musculus	Metazoa	82	True	2
1575	P52739	Homo sapiens	Metazoa	623	False	2
1576	P40625	Tetrahymena pyriformis	other	99	False	2
1577	Q9M9L6	Arabidopsis thaliana	Viridiplantae	211	False	2
1578	P58557	Homo sapiens	Metazoa	167	False	2
1579	Q8BIA4	Mus musculus	Metazoa	598	False	2
1580	Q6BDR8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	300	False	2
1581	U4PAZ9	Caenorhabditis elegans	Metazoa	1112	False	2
1582	Q9W1R4	Drosophila melanogaster	Metazoa	1395	False	2
1583	Q8MIR4	Sus scrofa	Metazoa	562	False	2
1584	Q61115	Mus musculus	Metazoa	1434	True	2
1585	Q9ZR07	Arabidopsis thaliana	Viridiplantae	187	False	2
1586	Q8N695	Homo sapiens	Metazoa	610	True	2
1587	O74478	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	587	False	2
1588	Q96Q11	Homo sapiens	Metazoa	434	False	2
1589	P33751	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	242	False	2
1590	P49419	Homo sapiens	Metazoa	539	False	2
1591	Q8NBA8	Homo sapiens	Metazoa	298	False	2
1592	Q38885	Arabidopsis thaliana	Viridiplantae	551	False	2
1593	Q6ZPK0	Mus musculus	Metazoa	688	False	2
1594	Q07878	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	3144	False	2
1595	Q3SZ86	Bos taurus	Metazoa	205	False	2
1596	P48437	Mus musculus	Metazoa	737	False	2
1597	Q156A1	Homo sapiens	Metazoa	80	False	2
1598	Q04347	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	519	False	2
1599	P22138	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1203	False	2
1600	Q9FPS9	Arabidopsis thaliana	Viridiplantae	924	False	2
1601	P21580	Homo sapiens	Metazoa	790	False	2
1602	Q4V835	Xenopus laevis	Metazoa	838	False	2
1603	P43565	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1770	False	2
1604	Q9UPI3	Homo sapiens	Metazoa	526	True	2
1605	Q498E2	Rattus norvegicus	Metazoa	182	False	2
1606	Q96I59	Homo sapiens	Metazoa	477	False	2
1607	Q9BUB7	Homo sapiens	Metazoa	260	False	2
1608	Q969V5	Homo sapiens	Metazoa	352	True	2
1609	Q96DY5	Mus musculus	Metazoa	654	False	2
1610	E9Q5G7	Mus musculus	Metazoa	496	False	2
1611	A0A2R6X6S3	Marchantia polymorpha	Viridiplantae	911	False	2
1612	P40848	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	991	False	2
1613	Q7ZT82	Danio rerio	Metazoa	382	False	2
1614	O95833	Homo sapiens	Metazoa	236	True	2
1615	Q9ERS2	Mus musculus	Metazoa	144	True	2
1616	Q06596	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	294	False	2
1617	Q04411	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	772	False	2
1618	Q8C3P7	Mus musculus	Metazoa	580	False	2
1619	Q9Y5U8	Homo sapiens	Metazoa	109	True	2
1620	Q8CEG0	Mus musculus	Metazoa	392	True	2
1621	Q9ASX5	Arabidopsis thaliana	Viridiplantae	540	False	2
1622	Q7TPF1	Rattus norvegicus	Metazoa	97	True	2
1623	Q13216	Homo sapiens	Metazoa	396	False	2
1624	O94328	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	141	False	2
1625	Q94BN0	Arabidopsis thaliana	Viridiplantae	364	False	2
1626	P01100	Homo sapiens	Metazoa	380	False	2
