	ID	Taxa	Kingdom	Seq_Length	Site	Group
0	Q10571	Homo sapiens	Metazoa	1320	False	1
1	P38691	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1029	False	1
2	Q8AYS7	Gallus gallus	Metazoa	753	False	1
3	P47077	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	666	False	1
4	P40568	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	576	False	1
5	Q9R1M5	Mus musculus	Metazoa	1163	False	1
6	P82673	Homo sapiens	Metazoa	323	False	1
7	Q60465	Cricetulus longicaudatus	Metazoa	590	False	1
8	Q9CAH5	Arabidopsis thaliana	Viridiplantae	320	True	1
9	Q99MV7	Mus musculus	Metazoa	1640	False	1
10	P51556	Rattus norvegicus	Metazoa	727	False	1
11	Q96B49	Homo sapiens	Metazoa	74	True	1
12	B8Y6I0	Zea mays	Viridiplantae	786	False	1
13	P40342	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	146	False	1
14	P11930	Mus musculus	Metazoa	357	False	1
15	Q22557	Caenorhabditis elegans	Metazoa	368	False	1
16	Q9H840	Homo sapiens	Metazoa	131	False	1
17	P41814	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	478	False	1
18	A6NKF2	Homo sapiens	Metazoa	412	False	1
19	Q8IP99	Drosophila melanogaster	Metazoa	308	False	1
20	P25502	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	979	False	1
21	Q8BGC4	Mus musculus	Metazoa	377	False	1
22	P53255	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	507	False	1
23	Q92353	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	468	False	1
24	Q9UTP3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	59	False	1
25	Q9VAW5	Drosophila melanogaster	Metazoa	1673	False	1
26	Q76JU9	Mus musculus	Metazoa	300	True	1
27	O14285	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	164	False	1
28	Q9SKT0	Arabidopsis thaliana	Viridiplantae	300	False	1
29	Q8QZY3	Mus musculus	Metazoa	150	False	1
30	P21691	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	654	False	1
31	Q99627	Homo sapiens	Metazoa	209	False	1
32	Q9SLB9	Arabidopsis thaliana	Viridiplantae	450	False	1
33	A6NHQ2	Homo sapiens	Metazoa	334	False	1
34	Q9P6L9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1038	False	1
35	Q8BY35	Mus musculus	Metazoa	655	False	1
36	Q9NQC7	Homo sapiens	Metazoa	956	False	1
37	Q9Y2S7	Homo sapiens	Metazoa	368	False	1
38	P40169	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	301	True	1
39	P34567	Caenorhabditis elegans	Metazoa	376	False	1
40	A2YMU2	Oryza sativa subsp. indica	Viridiplantae	266	False	1
41	C7AJA4	Trypanosoma brucei brucei	other	406	False	1
42	P57741	Arabidopsis thaliana	Viridiplantae	195	False	1
43	Q9USV1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	299	False	1
44	Q9V8P9	Drosophila melanogaster	Metazoa	1038	False	1
45	Q3T0J3	Bos taurus	Metazoa	251	False	1
46	B0L3A2	Homo sapiens	Metazoa	85	True	1
47	E5RQA1	Oryza sativa subsp. japonica	Viridiplantae	257	False	1
48	A0A125YYB5	Toxoplasma gondii (strain ATCC 50611 / Me49)	other	509	False	1
49	P38855	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	283	False	1
50	P49802	Homo sapiens	Metazoa	495	False	1
51	Q9P7H8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1679	False	1
52	O55102	Mus musculus	Metazoa	125	False	1
53	F4IV16	Arabidopsis thaliana	Viridiplantae	267	False	1
54	Q9Y448	Homo sapiens	Metazoa	316	False	1
55	A0A0K3AWP8	Caenorhabditis elegans	Metazoa	4022	True	1
56	P32862	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1170	False	1
57	P38170	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	754	False	1
58	P57743	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	89	False	1
59	Q9SHZ6	Arabidopsis thaliana	Viridiplantae	343	False	1
60	G5EEW6	Caenorhabditis elegans	Metazoa	427	False	1
61	P33411	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	251	False	1
62	Q01454	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	927	False	1
63	O13983	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1063	False	1
64	Q9LY66	Arabidopsis thaliana	Viridiplantae	346	False	1
65	O94538	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	649	False	1
66	Q9JM80	Rattus norvegicus	Metazoa	424	True	1
67	P38634	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	284	False	1
68	F4I3V6	Arabidopsis thaliana	Viridiplantae	192	False	1
69	P80680	Zea mays	Viridiplantae	97	False	1
70	Q04996	Arabidopsis thaliana	Viridiplantae	723	False	1
71	Q14CZ7	Homo sapiens	Metazoa	662	False	1
72	Q9C0E2	Homo sapiens	Metazoa	1151	False	1
73	Q14116	Homo sapiens	Metazoa	193	False	1
74	Q9SA52	Arabidopsis thaliana	Viridiplantae	378	False	1
75	Q04005	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	294	False	1
76	Q6B860	Bos taurus	Metazoa	128	False	1
77	P97287	Mus musculus	Metazoa	331	False	1
78	P09118	Rattus norvegicus	Metazoa	303	False	1
79	Q9JJ09	Rattus norvegicus	Metazoa	695	False	1
80	Q9Y4E5	Homo sapiens	Metazoa	1061	False	1
81	P35183	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	429	False	1
82	Q9T0A4	Arabidopsis thaliana	Viridiplantae	250	False	1
83	Q9WTZ9	Mus musculus	Metazoa	124	False	1
84	O13927	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	201	False	1
85	Q9NRR8	Homo sapiens	Metazoa	79	False	1
86	Q3E7A8	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	72	False	1
87	O75004	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	501	False	1
88	P0DO12	Arabidopsis thaliana	Viridiplantae	126	False	1
89	O13577	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133	False	1
90	Q07913	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	336	False	1
91	Q8N371	Homo sapiens	Metazoa	416	False	1
92	Q9GZZ9	Homo sapiens	Metazoa	404	False	1
93	Q9HB96	Homo sapiens	Metazoa	536	False	1
94	P28004	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	379	False	1
95	Q8WXD0	Homo sapiens	Metazoa	754	False	1
96	P38996	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	802	False	1
